Date,State,Town,Longitude,Latitude,Sighting
1/24/2023,LA,New Iberia,-91.8,30,1
1/24/2023,CA,Baywood-Los Osos,-120.8,35.3,1
1/24/2023,PR,Palmarejo,-66.3,18.3,2
1/25/2023,FL,West Palm Beach,-80,26.8,1
1/25/2023,FL,Summerfield,-82,29,1
1/25/2023,HI,Hauula,-157.9,21.7,1
1/25/2023,FL,Port Charlotte,-82.2,27,6
1/25/2023,FL,Englewood,-82.4,27,1
1/25/2023,CA,La Quinta,-116.2,33.6,1
1/25/2023,CA,Baywood-Los Osos,-120.9,35.3,4
1/25/2023,PR,Palmarejo,-66.3,18.3,2
1/26/2023,TX,Houston,-95.4,29.7,1
1/26/2023,FL,Fort Myers,-81.8,26.7,1
1/26/2023,AL,Fort Morgan,-88,30.2,1
1/26/2023,PR,Palmarejo,-66.3,18.3,2
1/26/2023,CA,San Diego,-117.2,32.7,1
1/27/2023,LA,New Iberia,-91.8,30,1
1/27/2023,FL,Melbourne,-80.6,28.2,1
1/27/2023,PR,Palmarejo,-66.3,18.3,1
1/28/2023,CA,San Jose,-121.8,37.2,1
1/28/2023,LA,New Iberia,-91.8,30,1
1/28/2023,PR,Palmarejo,-66.3,18.3,1
1/28/2023,CA,Petaluma,-122.7,38.2,1
1/28/2023,CA,Petaluma,-122.7,38.2,1
1/29/2023,FL,Palm Beach,-80,26.7,2
1/30/2023,CA,Baywood-Los Osos,-120.8,35.3,3
1/30/2023,PR,Palmarejo,-66.3,18.3,1
1/31/2023,NC,Washington,-77.1,35.5,1
1/31/2023,FL,Pompano Beach,-80.1,26.2,3
1/31/2023,FL,Summerfield,-82,29,1
1/31/2023,PR,Palmarejo,-66.3,18.3,2
2/1/2023,AL,Gulf Shores,-87.9,30.2,1
2/1/2023,FL,The Villages,-82,28.9,1
2/1/2023,CA,Alameda,-122.3,37.8,2
2/1/2023,PR,Palmarejo,-66.3,18.3,1
2/1/2023,FL,Winter Haven,-81.7,28.1,12
2/2/2023,FL,Melbourne,-80.6,28.2,1
2/2/2023,PR,Palmarejo,-66.3,18.3,2
2/3/2023,PR,Palmarejo,-66.3,18.3,3
2/4/2023,FL,St. Petersburg,-82.7,27.8,1
2/4/2023,FL,Panacea,-84.4,29.9,3
2/4/2023,CA,Rancho Cucamonga,-117.6,34.1,1
2/4/2023,LA,New Iberia,-91.8,30,1
2/4/2023,TX,Houston,-95.4,29.8,1
2/4/2023,PR,Palmarejo,-66.3,18.3,1
2/4/2023,CA,Pasadena,-118.1,34.1,1
2/5/2023,TX,Rosenberg,-95.7,29.5,1
2/5/2023,AL,Gulf Shores,-87.7,30.3,1
2/5/2023,TX,Houston,-95.4,29.7,1
2/5/2023,TX,McAllen,-98.2,26.3,1
2/6/2023,FL,Gainesville,-82.4,29.7,1
2/6/2023,AL,Summerdale,-87.7,30.5,1
2/6/2023,FL,Cape Coral,-82,26.6,1
2/6/2023,FL,Cape Coral,-82,26.6,1
2/6/2023,FL,Beverly Hills,-82.5,28.9,1
2/6/2023,SC,Mt Pleasant,-79.8,32.9,1
2/6/2023,PR,Palmarejo,-66.3,18.3,2
2/7/2023,NC,Carolina Beach,-77.9,34,1
2/7/2023,CA,Palm Springs,-116.6,33.9,3
2/7/2023,NV,Las Vegas,-115.1,36.1,2
2/7/2023,PR,Palmarejo,-66.3,18.3,2
2/7/2023,CA,Albany,-122.3,37.9,1
2/8/2023,FL,West Palm Beach,-80,26.8,1
2/8/2023,AL,Summerdale,-87.7,30.5,1
2/8/2023,Central Abaco,Marsh Harbour,-77.1,26.5,1
2/8/2023,CA,Cambria,-121.1,35.6,3
